ObjectID,Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Country,State/Province,County,Field Number
120,"February 17, 2020",2020,Feb,39.593,-72.41,"Whale, humpback",Unk,Moderate Decomposition,USA,NY,EEZ,NMFSGAR02172020Mn
121,"March 5, 2020",2020,Mar,35.9541,-75.621,"Whale, humpback",Male,Moderate Decomposition,USA,NC,Dare,JPIER023
122,"March 11, 2020",2020,Mar,40.83361,-70.61722,"Whale, humpback",Unk,Moderate Decomposition,USA,MA,EEZ,NMFSGAR03112020Mn
123,"March 31, 2020",2020,Mar,40.5643,-73.8726,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Queens,AMCS42Mn2020
124,"April 9, 2020",2020,Apr,33.9062,-78.09578,"Whale, humpback",Unk,Moderate Decomposition,USA,NC,Brunswick,WAM737
125,"April 10, 2020",2020,Apr,29.3088,-81.045611,"Whale, humpback",Male,Advanced Decomposition,USA,FL,Volusia,Hubbs-2014-Mn
126,"April 30, 2020",2020,Apr,40.513333,-73.980555,"Whale, humpback",Male,Moderate Decomposition,USA,NJ,Monmouth,MMSC-20-073
127,"May 22, 2020",2020,May,40.7654,-72.7488,"Whale, humpback",Male,Advanced Decomposition,USA,NY,Suffolk,AMCS76Mn2020
128,"May 30, 2020",2020,May,40.96814,-72.1249,"Whale, humpback",Female,Advanced Decomposition,USA,NY,Suffolk,AMCS80Mn2020
129,"July 9, 2020",2020,Jul,44.378524,-68.099928,"Whale, humpback",Unk,Mummified/Skeletal Remains,USA,ME,Hancock,COA200709Mn
130,"July 16, 2020",2020,Jul,41.404131,-70.188958,"Whale, humpback",Unk,Moderate Decomposition,USA,MA,EEZ,NMFSGAR07162020Mn
131,"July 17, 2020",2020,Jul,41.0573,-71.805,"Whale, humpback",Unk,Moderate Decomposition,USA,NY,Suffolk,AMCS101Mn2020
132,"July 18, 2020",2020,Jul,40.7342,-72.8576,"Whale, humpback",Female,Advanced Decomposition,USA,NY,Suffolk,AMCS104Mn2020
133,"July 25, 2020",2020,Jul,40.950239,-71.61673,"Whale, humpback",Unk,Moderate Decomposition,USA,NY,EEZ,NMFSGAR07252020Mn
134,"July 27, 2020",2020,Jul,41.2452,-70.127,"Whale, humpback",Female,Advanced Decomposition,USA,MA,Nantucket,MMAN20-169
135,"August 5, 2020",2020,Aug,41.28362,-70.23483,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,Nantucket,MMAN20-174_NMFSGAR08082020Mn
136,"September 14, 2020",2020,Sep,40.9093,-70.22325,"Whale, humpback",Unk,Unknown,USA,MA ,EEZ,NMFSGAR09142020Mn
137,"September 16, 2020",2020,Sep,39.316604,-74.457123,"Whale, humpback",Female,Moderate Decomposition,USA,NJ,Atlantic,MMSC-20-144_AMCS140Mn2020 
138,"October 27, 2020",2020,Oct,40.718,-72.9123,"Whale, humpback",Male,Moderate Decomposition,USA,NY,Suffolk,AMCS163Mn2020
139,"November 4, 2020",2020,Nov,39.001394,-74.706667,"Whale, humpback",Female,Moderate Decomposition,USA,NJ,Cape May,MMSC-20-156
140,"November 7, 2020",2020,Nov,41.65578,-69.979175,"Whale, humpback",Male,Moderate Decomposition,USA,MA,Barnstable,IFAW20-251Mn
141,"November 8, 2020",2020,Nov,40.8079,-71.7308,"Whale, humpback",Unk,Moderate Decomposition,USA,NY,Suffolk,AMCS169Mn2020
142,"November 27, 2020",2020,Dec,40.9194444,-70.6102777777777,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,Nantucket,MMAN20-189
143,"December 4, 2020",2020,Dec,41.168854,-70.12716,"Whale, humpback",Unk,Unknown,USA,MA,Dukes,NMFSGAR12042020Mn
144,"December 11, 2020",2020,Dec,36.883333,-75.863333,"Whale, humpback",Unk,Moderate Decomposition,USA,VA,Virginia Beach,VAQS20201094
145,"December 24, 2020",2020,Dec,39.730746,-74.119083,"Whale, humpback",Male,Moderate Decomposition,USA,NJ,Ocean,MMSC-20-160
146,"December 28, 2020",2020,Dec,42.065615,-70.244772,"Whale, humpback",Male,Moderate Decomposition,USA,MA,Barnstable,IFAW-20-307Mn
147,"January 6, 2021",2021,Jan,35.7648,-75.5572,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Dare,KLC352
148,"February 18, 2021",2021,Feb,38.243085,-75.132879,"Whale, humpback",Unk,Moderate Decomposition,USA,MD,Worcester,21-MNO-02
149,"March 18, 2021",2021,Mar,35.61345,-75.46645,"Whale, humpback",Unk,Advanced Decomposition,USA,NC,Dare,CAHA527
150,"March 19, 2021",2021,Mar,36.2849,-75.79441,"Whale, humpback",Unk,Moderate Decomposition,USA,NC,Currituck,KLC357
151,"April 11, 2021",2021,Apr,41.333377,-70.640908,"Whale, humpback",Unk,Moderate Decomposition,USA,MA,EEZ,NMFSGAR04112021Mn
152,"July 20, 2021",2021,Jul,41.5275,-69.296,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,EEZ,NMFSGAR07202021Mn
153,"August 16, 2021",2021,Aug,42.228855,-70.316827,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,EEZ,NMFSGAR08162021Mn
154,"September 17, 2021",2021,Sep,40.541871,-74.125844,"Whale, humpback",Male,Moderate Decomposition,USA,NY,Richmond,AMCS130Mn2021
155,"September 20, 2021",2021,Sep,37.1875,-75.89497,"Whale, humpback",Unk,Mummified/Skeletal Remains,USA,VA,Northampton,VAQS20211066
156,"November 22, 2021",2021,Nov,42.03363,-70.169556,"Whale, humpback",Unk,Fresh Dead,USA,MA,Barnstable,IFAW21-284Mn
157,"January 8, 2022",2022,Jan,41.485349,-71.190541,"Whale, humpback",Female,Moderate Decomposition,USA,RI,Newport,SXMn2202_AMCS003Mn2022
158,"March 2, 2022",2022,Mar,36.60651,-74.8961,"Whale, humpback",Unk,Advanced Decomposition,USA,VA,Virginia Beach,VAQS20221006
159,"March 16, 2022",2022,Mar,34.047883,-77.825633,"Whale, humpback",Male,Advanced Decomposition,USA,NC,New Hanover,WAM747
160,"May 1, 2022",2022,May,42.1544167,-70.2214722,"Whale, humpback",Male,Moderate Decomposition,USA,MA,Barnstable,IFAW22-097Mn
161,"May 24, 2022",2022,May ,39.120043,-74.729595,"Whale, humpback",Unk,Advanced Decomposition,USA,NJ,Cape May,MMSC-22-072
162,"May 25, 2022",2022,May ,40.62263,-70.16249,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,Nantucket,NMFSGAR05252022Mn_MMAN22-101
163,"July 9, 2022",2022,Jul,39.045933,-74.74333,"Whale, humpback",Male,Moderate Decomposition,USA,NJ,Cape May,MMSC-22-095
164,"July 26, 2022",2022,Jul,41.882988,-70.046529,"Whale, humpback",Female,Fresh Dead,USA,MA,Barnstable,IFAW22-177Mn
165,"July 30, 2022",2022,Jul,43.27667,-69.903889,"Whale, humpback",Unk,Unknown,USA,ME,York,NMFSGAR073022Mn
166,"September 2, 2022",2022,Sep,40.98944,-71.0508,"Whale, humpback",Unk,Advanced Decomposition,USA,RI,Washington,SUMn2259Mn
167,"October 13, 2022",2022,Oct,41.176248,-71.539367,"Whale, humpback",Male,Moderate Decomposition,USA,RI,Washington,SYMn2263
168,"October 31, 2022",2022,Oct,43.82797,-69.566442,"Whale, humpback",Male,Advanced Decomposition,USA,ME,Lincoln,MME-22-418Mn
169,"November 12, 2022",2022,Nov,40.72302,-72.89396,"Whale, humpback",Unk,Advanced Decomposition,USA,NY,Suffolk,AMCS123Mn2022
170,"December 3, 2022",2022,Dec,40.981,-72.41743,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Suffolk,AMCS160Mn2022
171,"December 5, 2022",2022,Dec,35.291305,-75.513288,"Whale, humpback",Female,Advanced Decomposition,USA,NC,Dare,CAHA 586Mn
172,"December 10, 2022",2022,Dec,39.18651,-74.665974,"Whale, humpback",Female,Fresh Dead,USA,NJ,Cape May,MMSC-22-151
173,"December 21, 2022",2022,Dec,36.416853,-74.783453,"Whale, humpback",Unk,Advanced Decomposition,USA,NC,Currituck,NCUR20221221
174,"December 23, 2022",2022,Dec,39.350358,-74.446686,"Whale, humpback",Female,Moderate Decomposition,USA,NJ,Atlantic,MMSC-22-154
175,"December 28, 2022",2022,Dec,34.893952,-76.261643,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Carteret,CALO22-06
176,"January 7, 2023",2023,Jan,39.352564,-74.438584,"Whale, humpback",Female,Moderate Decomposition,USA,NJ,Atlantic,MMSC-23-001
177,"January 12, 2023",2023,Jan,36.9203588,-76.0648251,"Whale, humpback",Unk,Unknown,USA,VA,Virginia Beach,VAQS20231001
178,"January 12, 2023",2023,Jan,39.43341,-74.336033,"Whale, humpback",Unk,Unknown,USA,NJ,Atlantic,MMSC-23-002
179,"January 16, 2023",2023,Jan,38.131602,-75.177917,"Whale, humpback",Female,Moderate Decomposition,USA,MD,Worcester,23-MNO-01
180,"January 18, 2023",2023,Jan,39.3388889,-73.585,"Whale, humpback",Unk,Moderate Decomposition,USA,NJ,Ocean,MMSC-23-003
181,"January 28, 2023",2023,Jan,39.6641667,-73.6863889,"Whale, humpback",Unk,Unknown,USA,NJ,Atlantic,MMSC-23-005
182,"January 30, 2023",2023,Jan,40.585341,-73.622896,"Whale, humpback",Male,Moderate Decomposition,USA,NY,Nassau,AMCS013Mn2023
183,"February 7, 2023",2023,Feb,36.9405,-76.044667,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Northumberland,VAQS20231003
184,"February 11, 2023",2023,Feb,37.2426556,-76.0190306,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Northampton,VAQS20231004
185,"February 13, 2023",2023,Feb,40.121933,-74.017014,"Whale, humpback",Female,Moderate Decomposition,USA,NJ,Monmouth,MMSC-23-015-Mn_AMCS018Mn2023
186,"February 27, 2023",2023,Feb,40.4936,-73.8885,"Whale, humpback",Unk,Moderate Decomposition,USA,NY,Queens,AMCS022Mn2023
187,"March 1, 2023",2023,Mar,39.931917,-74.071392,"Whale, humpback",Female,Moderate Decomposition,USA,NJ,Ocean,MMSC-23-016-Mn
188,"March 9, 2023",2023,Mar,37.23713,-76.01584,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Northampton,VAQS20231010
